MHT_CET,JEE_Main,Branch,Category,Gender,Allocated_College
99.99,50.67,Civil,OPEN,Female,COEP Pune
98.97,52.57,Civil,SC,Female,COEP Pune
72.41,89.19,EnTC,SC,Male,Orchid Solapur
80.36,75.39,Civil,EWS,Female,Sinhgad Pune
89.97,72.23,Mech,OPEN,Female,DY Patil Akurdi
99.63,66.52,Mech,OPEN,Male,COEP Pune
77.81,68.9,IT,OBC,Male,Orchid Solapur
82.22,95.94,CS,OBC,Male,Govt College Karad
68.4,68.3,CS,OPEN,Male,Local City College
67.06,48.18,CS,OBC,Female,Local City College
97.19,89.87,EnTC,OPEN,Female,SPIT Mumbai
99.99,70.9,CS,OPEN,Male,COEP Pune
83.92,75.63,CS,OBC,Female,Govt College Karad
99.99,99.99,IT,OPEN,Male,COEP Pune
90.42,74.59,CS,OBC,Male,DY Patil Akurdi
75.32,80.78,IT,OPEN,Male,Orchid Solapur
90.42,51.42,Civil,OPEN,Female,DY Patil Akurdi
99.99,70.61,EnTC,OPEN,Female,COEP Pune
84.46,87.19,EnTC,OPEN,Female,Govt College Karad
99.99,43.89,IT,OPEN,Male,COEP Pune
45.7,79.02,IT,OBC,Male,Not Allotted
97.33,77.02,CS,SC,Female,COEP Pune
86.31,75.83,Mech,OPEN,Female,WIT Solapur
80.51,95.74,CS,OPEN,Female,Sinhgad Pune
86.38,81.69,CS,EWS,Female,WIT Solapur
55.19,99.99,EnTC,OPEN,Male,Not Allotted
81.7,55.13,CS,OPEN,Female,Sinhgad Pune
90.36,77.72,IT,OPEN,Female,DY Patil Akurdi
99.99,76.69,CS,SC,Male,COEP Pune
77.23,53.61,CS,OPEN,Female,Orchid Solapur
72.87,94.13,CS,OBC,Female,Local City College
77.47,99.99,CS,OPEN,Female,Orchid Solapur
98.73,74.66,EnTC,OPEN,Male,VJTI Mumbai
89.93,85.1,Mech,OPEN,Male,DY Patil Akurdi
77.05,76.69,IT,SC,Female,Govt College Karad
92.7,60.73,Mech,OBC,Male,PCCOE Pune
86.46,38.58,CS,OPEN,Female,WIT Solapur
99.53,60.88,CS,OPEN,Female,COEP Pune
74.47,47.16,CS,OBC,Male,Local City College
80.09,99.99,EnTC,SC,Female,WIT Solapur
79.12,72.7,IT,OPEN,Male,Orchid Solapur
63.05,68.08,EnTC,OBC,Male,Local City College
89.44,92.78,EnTC,OPEN,Male,DY Patil Akurdi
88.92,52.56,IT,OPEN,Female,WIT Solapur
85.08,59.66,EnTC,OPEN,Female,WIT Solapur
81.48,76.36,Civil,SC,Female,WIT Solapur
63.77,95.58,CS,OPEN,Female,Local City College
78.69,85.03,IT,SC,Male,Govt College Karad
79.86,79.97,EnTC,SC,Female,Govt College Karad
72.97,76.56,EnTC,SC,Female,Orchid Solapur
82.58,83.0,CS,OPEN,Male,Govt College Karad
91.06,79.03,IT,OPEN,Male,PCCOE Pune
99.99,54.4,IT,EWS,Female,COEP Pune
87.62,75.92,IT,SC,Male,PCCOE Pune
88.86,53.53,CS,SC,Female,VIT Pune
83.88,76.62,Civil,OPEN,Female,Govt College Karad
56.22,65.39,EnTC,OPEN,Male,Not Allotted
84.6,99.99,IT,SC,Male,DY Patil Akurdi
85.9,74.2,EnTC,OPEN,Female,WIT Solapur
99.99,46.92,Mech,OBC,Female,COEP Pune
82.11,72.32,CS,OPEN,Female,Govt College Karad
89.52,85.39,CS,OPEN,Female,DY Patil Akurdi
84.48,99.99,IT,OPEN,Female,Govt College Karad
67.47,63.21,EnTC,OPEN,Male,Local City College
99.99,43.35,CS,OPEN,Female,COEP Pune
96.28,91.34,Civil,OBC,Male,SPIT Mumbai
96.87,47.39,IT,OPEN,Male,SPIT Mumbai
71.36,66.28,IT,OPEN,Male,Local City College
99.99,69.85,CS,ST,Female,COEP Pune
63.97,73.61,CS,OPEN,Female,Local City College
93.8,88.78,EnTC,OPEN,Male,VIT Pune
99.99,61.33,Civil,SC,Male,COEP Pune
70.14,69.53,IT,EWS,Male,Local City College
76.51,74.71,Civil,OPEN,Male,Orchid Solapur
86.49,77.99,Mech,OPEN,Male,WIT Solapur
77.45,76.96,IT,OBC,Female,Orchid Solapur
61.74,83.72,EnTC,OPEN,Male,Local City College
86.03,91.88,IT,SC,Female,PCCOE Pune
69.07,82.85,IT,EWS,Male,Local City College
92.1,84.07,CS,EWS,Male,PCCOE Pune
71.21,43.36,EnTC,OPEN,Female,Local City College
99.99,76.0,CS,OPEN,Female,COEP Pune
73.25,84.59,Mech,EWS,Male,Local City College
80.17,89.58,Mech,OPEN,Female,Sinhgad Pune
97.2,61.15,CS,OPEN,Female,SPIT Mumbai
66.54,61.82,CS,SC,Male,Local City College
88.41,63.52,IT,OPEN,Male,WIT Solapur
99.99,85.73,IT,OPEN,Male,COEP Pune
60.89,95.68,CS,ST,Female,Local City College
87.77,66.85,IT,OPEN,Male,WIT Solapur
88.9,93.16,CS,OPEN,Male,WIT Solapur
96.73,77.47,CS,OPEN,Female,SPIT Mumbai
66.45,72.51,CS,OBC,Male,Local City College
65.19,70.77,CS,OPEN,Female,Local City College
92.83,89.93,EnTC,OPEN,Female,PCCOE Pune
89.45,81.51,Civil,OBC,Male,DY Patil Akurdi
88.76,99.99,IT,SC,Female,VIT Pune
90.2,57.96,IT,OPEN,Female,DY Patil Akurdi
74.8,85.36,CS,SC,Male,Orchid Solapur
88.48,64.42,IT,OPEN,Female,WIT Solapur
89.4,57.61,CS,OBC,Male,DY Patil Akurdi
74.28,74.78,EnTC,OPEN,Male,Local City College
99.99,77.75,Civil,OPEN,Male,COEP Pune
92.11,99.99,CS,SC,Male,SPIT Mumbai
67.13,71.32,EnTC,OPEN,Male,Local City College
94.85,52.4,CS,OPEN,Female,VIT Pune
70.38,80.46,IT,OPEN,Female,Local City College
96.81,33.51,CS,OBC,Female,SPIT Mumbai
99.99,73.16,IT,OPEN,Male,COEP Pune
72.69,75.32,CS,OPEN,Male,Local City College
99.45,90.89,IT,OPEN,Male,COEP Pune
91.19,94.47,IT,OPEN,Male,PCCOE Pune
97.33,64.93,CS,OPEN,Female,SPIT Mumbai
99.99,71.99,EnTC,OPEN,Female,COEP Pune
81.32,59.68,Civil,OPEN,Male,Sinhgad Pune
73.69,52.44,IT,OPEN,Male,Local City College
71.66,81.2,CS,SC,Male,Orchid Solapur
72.76,49.53,CS,SC,Female,Orchid Solapur
83.84,66.71,Mech,ST,Female,WIT Solapur
90.12,55.1,IT,OPEN,Male,DY Patil Akurdi
89.15,85.99,IT,EWS,Male,DY Patil Akurdi
97.41,99.99,CS,OPEN,Female,SPIT Mumbai
85.2,48.97,IT,EWS,Female,WIT Solapur
99.99,37.94,CS,OPEN,Male,COEP Pune
81.03,72.5,Civil,OPEN,Male,Sinhgad Pune
99.99,75.31,Mech,OPEN,Male,COEP Pune
94.39,79.37,CS,OPEN,Female,VIT Pune
72.14,66.07,IT,SC,Male,Orchid Solapur
68.94,70.99,CS,SC,Female,Local City College
92.24,82.35,IT,EWS,Male,PCCOE Pune
81.65,95.81,Mech,OBC,Male,Sinhgad Pune
95.71,35.9,IT,OPEN,Male,Walchand Sangli
92.1,67.62,CS,OPEN,Female,PCCOE Pune
83.91,79.28,CS,EWS,Male,Govt College Karad
72.3,56.64,Mech,OBC,Female,Local City College
62.28,99.99,EnTC,SC,Male,Local City College
78.3,62.29,IT,OPEN,Female,Orchid Solapur
97.85,74.17,CS,OBC,Male,PICT Pune
88.21,86.12,CS,EWS,Female,WIT Solapur
66.31,63.17,Civil,OPEN,Male,Local City College
87.6,38.07,IT,OPEN,Female,WIT Solapur
90.78,66.43,IT,OPEN,Female,DY Patil Akurdi
71.74,95.59,IT,SC,Male,Orchid Solapur
87.31,68.26,EnTC,OPEN,Female,WIT Solapur
85.87,58.07,CS,OPEN,Female,WIT Solapur
67.86,93.51,CS,OPEN,Male,Local City College
90.37,68.38,IT,OBC,Female,DY Patil Akurdi
93.41,64.8,EnTC,OPEN,Male,VIT Pune
99.99,77.99,EnTC,OPEN,Male,COEP Pune
99.99,90.42,Mech,EWS,Female,COEP Pune
64.33,99.99,IT,EWS,Female,Local City College
70.93,91.54,CS,OPEN,Female,Local City College
92.73,98.2,Civil,SC,Female,PICT Pune
92.71,64.88,IT,OBC,Female,PCCOE Pune
92.73,54.48,EnTC,OPEN,Male,PCCOE Pune
99.99,76.25,EnTC,OPEN,Male,COEP Pune
93.56,77.14,IT,OPEN,Female,VIT Pune
99.99,53.43,CS,OPEN,Female,COEP Pune
99.31,71.49,EnTC,OPEN,Female,COEP Pune
94.77,82.99,Mech,SC,Female,COEP Pune
80.27,82.21,IT,OPEN,Female,Sinhgad Pune
96.38,85.09,IT,OBC,Male,SPIT Mumbai
73.41,80.82,CS,OPEN,Male,Local City College
81.45,64.86,CS,OBC,Male,Sinhgad Pune
77.72,64.72,CS,OPEN,Female,Orchid Solapur
86.23,51.02,CS,OBC,Female,WIT Solapur
99.99,99.99,Civil,SC,Female,COEP Pune
56.99,75.27,EnTC,SC,Male,Local City College
95.29,70.5,EnTC,OPEN,Male,Walchand Sangli
60.81,56.42,IT,OBC,Male,Local City College
77.92,99.99,CS,EWS,Male,Orchid Solapur
99.99,53.53,Civil,OBC,Female,COEP Pune
85.96,66.42,IT,OPEN,Female,WIT Solapur
68.83,83.32,CS,OBC,Female,Local City College
74.27,87.0,IT,OPEN,Female,Local City College
95.19,94.16,Mech,ST,Female,COEP Pune
74.04,99.99,Mech,OBC,Female,Local City College
88.25,85.12,CS,OPEN,Male,WIT Solapur
85.68,53.88,Mech,OPEN,Female,WIT Solapur
75.23,69.86,CS,OPEN,Female,Orchid Solapur
99.99,81.16,CS,EWS,Female,COEP Pune
94.51,99.99,Mech,OPEN,Female,VIT Pune
54.62,47.04,Mech,OPEN,Female,Not Allotted
87.8,99.05,IT,EWS,Female,WIT Solapur
75.07,78.6,IT,OPEN,Female,Orchid Solapur
97.79,91.76,Mech,OPEN,Female,PICT Pune
73.11,72.96,EnTC,OBC,Male,Local City College
83.28,58.15,Mech,OPEN,Male,Govt College Karad
92.57,90.02,IT,OPEN,Male,PCCOE Pune
97.99,88.09,Civil,OPEN,Female,PICT Pune
67.0,94.44,Civil,OBC,Male,Local City College
79.98,74.73,CS,EWS,Female,Orchid Solapur
77.88,63.0,Mech,OPEN,Male,Orchid Solapur
75.2,43.82,IT,OPEN,Male,Orchid Solapur
99.99,91.39,IT,OPEN,Female,COEP Pune
91.07,83.48,EnTC,SC,Female,SPIT Mumbai
66.09,55.68,CS,OPEN,Female,Local City College
98.77,64.23,IT,ST,Female,COEP Pune
99.99,65.66,Mech,OPEN,Male,COEP Pune
99.99,45.34,CS,EWS,Male,COEP Pune
62.21,58.65,IT,OBC,Female,Local City College
77.74,52.32,Civil,OBC,Male,Orchid Solapur
99.99,66.75,IT,OPEN,Male,COEP Pune
74.38,60.23,IT,SC,Male,Orchid Solapur
91.66,42.46,IT,OPEN,Female,PCCOE Pune
96.62,99.99,IT,OPEN,Female,SPIT Mumbai
71.1,99.99,EnTC,OPEN,Female,Local City College
84.11,59.42,Mech,ST,Male,DY Patil Akurdi
36.38,80.45,IT,SC,Female,Not Allotted
69.63,83.35,Mech,OBC,Female,Local City College
81.21,98.82,IT,OBC,Male,Sinhgad Pune
66.28,58.63,CS,OPEN,Female,Local City College
99.99,96.84,EnTC,SC,Female,COEP Pune
63.55,64.04,EnTC,SC,Female,Local City College
78.4,48.28,IT,OBC,Male,Orchid Solapur
86.96,89.48,CS,OPEN,Female,WIT Solapur
99.99,99.99,CS,EWS,Male,COEP Pune
63.46,99.99,CS,ST,Male,Local City College
99.99,51.01,CS,OBC,Male,COEP Pune
85.15,88.98,EnTC,OPEN,Male,WIT Solapur
70.28,66.8,CS,OBC,Male,Local City College
91.93,90.67,EnTC,OBC,Male,PCCOE Pune
87.99,45.59,CS,OPEN,Female,WIT Solapur
76.0,49.74,CS,OPEN,Female,Orchid Solapur
86.05,59.48,IT,OPEN,Male,WIT Solapur
79.22,76.58,CS,OBC,Male,Orchid Solapur
86.7,62.18,Mech,OPEN,Female,WIT Solapur
94.93,88.18,CS,OPEN,Female,VIT Pune
99.99,95.54,IT,SC,Female,COEP Pune
66.43,86.99,Mech,OBC,Male,Local City College
99.99,99.99,EnTC,OPEN,Male,COEP Pune
55.72,83.32,CS,OPEN,Female,Not Allotted
82.72,50.66,IT,ST,Male,WIT Solapur
93.82,99.99,EnTC,SC,Male,VJTI Mumbai
89.21,62.9,Civil,OPEN,Male,DY Patil Akurdi
75.66,93.21,Mech,EWS,Male,Orchid Solapur
81.88,99.99,CS,OPEN,Female,Sinhgad Pune
77.6,84.13,Civil,EWS,Male,Orchid Solapur
76.16,45.08,CS,OPEN,Male,Orchid Solapur
97.74,56.64,CS,OPEN,Male,PICT Pune
90.36,99.99,Mech,OPEN,Male,DY Patil Akurdi
74.61,71.62,CS,OPEN,Female,Local City College
98.49,76.59,CS,OBC,Male,PICT Pune
89.61,90.18,CS,SC,Male,VIT Pune
97.19,88.93,IT,SC,Female,COEP Pune
94.44,80.58,EnTC,OPEN,Male,VIT Pune
72.57,70.83,EnTC,OPEN,Male,Local City College
76.6,68.75,CS,OPEN,Male,Orchid Solapur
96.21,92.16,IT,OPEN,Male,SPIT Mumbai
94.16,86.07,Civil,OBC,Female,VIT Pune
84.69,69.85,Mech,OPEN,Female,Govt College Karad
86.76,96.64,CS,SC,Female,PCCOE Pune
99.99,72.42,Civil,OBC,Male,COEP Pune
76.13,57.97,EnTC,OPEN,Male,Orchid Solapur
93.21,59.82,CS,OBC,Female,VIT Pune
81.97,55.43,CS,OPEN,Female,Sinhgad Pune
81.73,69.55,CS,OPEN,Male,Sinhgad Pune
99.99,99.67,EnTC,SC,Male,COEP Pune
97.38,58.9,CS,OPEN,Male,SPIT Mumbai
97.2,78.77,IT,OPEN,Male,SPIT Mumbai
99.99,61.87,CS,SC,Male,COEP Pune
85.32,69.79,Civil,OPEN,Male,WIT Solapur
95.23,44.8,CS,SC,Male,COEP Pune
80.35,70.59,Civil,OPEN,Male,Sinhgad Pune
89.86,71.13,Civil,OPEN,Male,DY Patil Akurdi
83.05,85.81,CS,ST,Male,WIT Solapur
86.45,79.47,IT,SC,Female,PCCOE Pune
93.93,51.03,CS,OPEN,Male,VIT Pune
72.73,96.68,Civil,OPEN,Male,Local City College
99.99,79.21,IT,ST,Male,COEP Pune
69.91,78.97,CS,OPEN,Female,Local City College
66.79,74.82,CS,OBC,Male,Local City College
99.99,64.64,IT,SC,Female,COEP Pune
96.87,79.36,Civil,OBC,Male,SPIT Mumbai
94.36,84.51,EnTC,SC,Female,COEP Pune
94.43,40.06,Mech,SC,Female,COEP Pune
84.82,64.22,IT,OBC,Male,Govt College Karad
71.54,69.9,CS,SC,Female,Orchid Solapur
86.14,80.12,Civil,OBC,Female,WIT Solapur
74.84,98.87,CS,OPEN,Male,Local City College
99.63,59.57,Civil,OPEN,Male,COEP Pune
82.79,65.04,IT,SC,Male,WIT Solapur
72.62,64.75,CS,ST,Male,Orchid Solapur
80.18,58.97,EnTC,OPEN,Male,Sinhgad Pune
91.19,68.06,Civil,OPEN,Male,PCCOE Pune
76.54,90.42,Civil,EWS,Female,Orchid Solapur
72.67,53.92,CS,OBC,Female,Local City College
88.66,83.56,CS,OPEN,Male,WIT Solapur
88.67,40.96,IT,OBC,Male,WIT Solapur
77.4,63.77,EnTC,EWS,Male,Orchid Solapur
77.93,68.41,EnTC,SC,Male,Govt College Karad
88.48,99.99,CS,SC,Female,VIT Pune
63.28,69.5,Civil,OPEN,Female,Local City College
63.89,30.98,EnTC,ST,Male,Local City College
74.22,35.02,Mech,OBC,Female,Local City College
81.8,75.68,IT,ST,Female,WIT Solapur
89.66,87.28,IT,OPEN,Male,DY Patil Akurdi
99.99,82.51,Civil,OPEN,Male,COEP Pune
97.86,78.35,IT,OPEN,Female,PICT Pune
82.6,98.25,Mech,OPEN,Male,Govt College Karad
84.71,64.21,Civil,SC,Male,DY Patil Akurdi
69.96,92.9,EnTC,EWS,Male,Local City College
84.72,42.36,IT,OBC,Female,Govt College Karad
80.67,56.9,CS,ST,Female,WIT Solapur
89.84,38.86,CS,OPEN,Female,DY Patil Akurdi
72.59,69.5,CS,SC,Female,Orchid Solapur
92.79,74.07,CS,SC,Male,PICT Pune
99.99,77.28,CS,SC,Male,COEP Pune
83.37,76.24,CS,OBC,Female,Govt College Karad
91.03,56.45,IT,OBC,Female,PCCOE Pune
95.35,71.2,IT,SC,Male,COEP Pune
78.98,45.05,CS,OPEN,Female,Orchid Solapur
88.36,99.99,CS,SC,Female,VIT Pune
85.19,68.93,EnTC,EWS,Female,WIT Solapur
86.47,65.22,IT,OPEN,Female,WIT Solapur
73.4,99.99,IT,SC,Female,Orchid Solapur
85.37,50.16,EnTC,SC,Female,DY Patil Akurdi
92.47,52.49,Mech,OBC,Female,PCCOE Pune
99.99,53.08,IT,OBC,Male,COEP Pune
99.39,73.64,EnTC,ST,Male,COEP Pune
99.99,83.63,Civil,OPEN,Male,COEP Pune
73.49,89.79,Mech,OPEN,Female,Local City College
98.08,99.99,IT,SC,Male,COEP Pune
87.75,30.01,EnTC,OBC,Male,WIT Solapur
99.99,87.17,CS,SC,Male,COEP Pune
72.88,63.86,IT,OPEN,Male,Local City College
72.4,63.27,Civil,OPEN,Female,Local City College
76.01,62.6,IT,EWS,Male,Orchid Solapur
53.14,56.82,Civil,OPEN,Male,Not Allotted
77.11,99.99,IT,SC,Male,Govt College Karad
73.61,91.85,Civil,SC,Male,Orchid Solapur
87.26,75.46,IT,SC,Female,PCCOE Pune
90.13,99.99,CS,OPEN,Female,DY Patil Akurdi
99.99,44.75,IT,OBC,Male,COEP Pune
99.26,48.39,CS,ST,Male,COEP Pune
76.35,31.44,CS,OPEN,Male,Orchid Solapur
71.52,61.01,Mech,OPEN,Male,Local City College
92.38,78.23,CS,OPEN,Female,PCCOE Pune
65.2,77.06,EnTC,OPEN,Female,Local City College
99.99,77.99,CS,ST,Male,COEP Pune
99.99,46.78,CS,ST,Female,COEP Pune
77.96,91.06,Civil,EWS,Female,Orchid Solapur
59.3,79.79,IT,OBC,Male,Not Allotted
99.99,89.66,EnTC,SC,Male,COEP Pune
83.28,37.14,EnTC,OPEN,Female,Govt College Karad
99.99,81.23,IT,OBC,Female,COEP Pune
61.08,51.24,Civil,OBC,Female,Local City College
76.01,67.05,EnTC,EWS,Male,Orchid Solapur
85.08,85.69,IT,SC,Male,DY Patil Akurdi
85.7,76.82,Mech,EWS,Male,WIT Solapur
78.25,57.97,CS,ST,Male,Govt College Karad
94.34,75.13,IT,ST,Female,COEP Pune
68.99,44.37,Civil,OPEN,Male,Local City College
82.86,98.01,EnTC,SC,Female,WIT Solapur
86.8,70.89,Mech,OBC,Female,WIT Solapur
92.72,97.37,EnTC,OPEN,Female,PCCOE Pune
95.67,64.47,Mech,OPEN,Female,Walchand Sangli
68.13,64.53,Civil,OBC,Male,Local City College
61.99,59.72,CS,OPEN,Female,Local City College
99.99,92.52,CS,OPEN,Female,COEP Pune
89.98,60.81,IT,OBC,Male,DY Patil Akurdi
73.77,87.89,EnTC,EWS,Female,Local City College
99.99,67.35,CS,SC,Male,COEP Pune
86.74,35.48,CS,OPEN,Male,WIT Solapur
99.99,63.59,CS,OPEN,Male,COEP Pune
86.01,51.42,Civil,OPEN,Male,WIT Solapur
99.99,75.68,EnTC,OPEN,Female,COEP Pune
99.99,51.19,IT,OPEN,Male,COEP Pune
81.27,93.52,CS,EWS,Female,Sinhgad Pune
99.57,73.18,IT,OBC,Female,COEP Pune
94.68,71.45,CS,OPEN,Male,VIT Pune
99.99,88.12,CS,OPEN,Female,COEP Pune
70.53,94.28,Civil,OBC,Female,Local City College
95.29,74.6,Civil,OBC,Female,Walchand Sangli
99.99,59.58,CS,OPEN,Male,COEP Pune
58.62,39.52,CS,EWS,Female,Not Allotted
67.25,61.28,CS,OPEN,Male,Local City College
54.41,62.66,IT,OPEN,Male,Not Allotted
80.96,77.14,CS,OPEN,Male,Sinhgad Pune
95.76,68.1,CS,OBC,Female,Walchand Sangli
99.99,88.76,CS,OPEN,Female,COEP Pune
86.11,62.74,EnTC,OPEN,Female,WIT Solapur
99.99,73.86,EnTC,OPEN,Male,COEP Pune
64.3,98.68,EnTC,OBC,Female,Local City College
59.45,81.84,IT,OPEN,Male,Not Allotted
84.17,73.8,Civil,OPEN,Male,Govt College Karad
90.76,62.96,Civil,OPEN,Female,DY Patil Akurdi
84.51,62.34,CS,OPEN,Female,Govt College Karad
53.99,57.99,CS,OBC,Male,Not Allotted
83.66,64.18,IT,OPEN,Male,Govt College Karad
65.43,90.11,CS,OPEN,Female,Local City College
95.05,70.56,IT,OBC,Female,Walchand Sangli
90.5,48.0,IT,OPEN,Female,DY Patil Akurdi
70.9,99.99,IT,OPEN,Male,Local City College
77.29,81.4,CS,OPEN,Female,Orchid Solapur
69.11,46.86,IT,EWS,Female,Local City College
84.06,66.16,Civil,SC,Male,DY Patil Akurdi
99.33,77.22,CS,SC,Male,COEP Pune
70.21,99.99,EnTC,ST,Female,Orchid Solapur
92.56,52.84,CS,EWS,Female,PCCOE Pune
77.05,94.52,CS,SC,Female,Govt College Karad
73.11,99.99,IT,OBC,Male,Local City College
83.39,62.43,CS,OPEN,Female,Govt College Karad
69.47,69.45,CS,OPEN,Male,Local City College
76.7,54.27,CS,OBC,Female,Orchid Solapur
67.03,70.93,IT,EWS,Male,Local City College
99.99,74.27,EnTC,OPEN,Female,COEP Pune
85.53,88.19,CS,SC,Female,DY Patil Akurdi
74.5,96.8,EnTC,OPEN,Female,Local City College
88.21,60.04,CS,OPEN,Male,WIT Solapur
83.32,35.65,EnTC,OPEN,Male,Govt College Karad
81.69,74.58,IT,OBC,Male,Sinhgad Pune
94.21,80.87,EnTC,OPEN,Male,VIT Pune
96.36,79.99,Civil,SC,Female,COEP Pune
77.04,68.47,Civil,ST,Male,Govt College Karad
76.36,77.5,CS,ST,Male,Sinhgad Pune
80.87,99.99,Mech,OPEN,Female,Sinhgad Pune
50.47,82.63,CS,ST,Male,Not Allotted
62.27,67.53,Civil,OPEN,Female,Local City College
99.99,65.0,CS,OPEN,Male,COEP Pune
99.99,71.6,IT,SC,Male,COEP Pune
81.26,99.99,CS,OPEN,Female,Sinhgad Pune
93.65,71.33,CS,OPEN,Female,VIT Pune
89.67,74.6,EnTC,OPEN,Female,DY Patil Akurdi
99.99,65.35,Civil,SC,Female,COEP Pune
99.99,96.98,EnTC,OPEN,Male,COEP Pune
83.08,99.99,EnTC,OBC,Male,Govt College Karad
70.67,84.01,EnTC,OBC,Female,Local City College
60.9,76.66,CS,SC,Female,Local City College
88.05,75.74,CS,ST,Male,VIT Pune
73.65,27.31,CS,OPEN,Female,Local City College
63.67,89.9,IT,OPEN,Male,Local City College
75.3,77.68,CS,OPEN,Female,Orchid Solapur
68.78,83.57,CS,OPEN,Female,Local City College
99.99,60.77,CS,SC,Female,COEP Pune
98.22,67.31,CS,OPEN,Female,PICT Pune
84.88,66.78,Civil,OPEN,Male,Govt College Karad
99.99,95.43,CS,SC,Female,COEP Pune
86.16,67.42,IT,OBC,Male,WIT Solapur
72.08,99.99,IT,SC,Female,Orchid Solapur
99.99,83.62,IT,SC,Female,COEP Pune
93.08,49.49,CS,SC,Male,PICT Pune
69.44,72.43,CS,OBC,Female,Local City College
82.14,61.97,CS,OPEN,Male,Govt College Karad
71.87,31.11,IT,EWS,Female,Local City College
64.26,99.99,CS,OBC,Male,Local City College
98.89,89.06,IT,OPEN,Female,VJTI Mumbai
99.99,85.66,EnTC,OPEN,Female,COEP Pune
64.02,78.31,IT,OBC,Female,Local City College
93.44,47.36,IT,EWS,Female,VIT Pune
75.24,65.33,IT,OPEN,Female,Orchid Solapur
77.69,91.84,Mech,OPEN,Male,Orchid Solapur
76.11,53.98,CS,ST,Male,Sinhgad Pune
72.04,24.36,EnTC,EWS,Male,Local City College
85.73,70.46,EnTC,OPEN,Female,WIT Solapur
72.54,72.16,IT,OPEN,Female,Local City College
89.06,77.71,CS,OBC,Female,DY Patil Akurdi
84.25,89.57,IT,OPEN,Male,Govt College Karad
81.42,87.75,CS,ST,Male,WIT Solapur
71.39,80.18,CS,OPEN,Male,Local City College
76.35,98.91,CS,OPEN,Female,Orchid Solapur
96.33,44.62,CS,OPEN,Female,SPIT Mumbai
92.51,85.09,IT,OPEN,Male,PCCOE Pune
70.34,87.53,Mech,OPEN,Male,Local City College
86.49,50.21,CS,OPEN,Male,WIT Solapur
96.27,44.94,Civil,SC,Male,COEP Pune
59.96,60.08,Civil,OPEN,Female,Not Allotted
93.15,61.77,Civil,EWS,Male,VIT Pune
75.06,90.07,Mech,OPEN,Female,Orchid Solapur
93.56,62.71,IT,OBC,Female,VIT Pune
73.55,57.87,CS,OPEN,Female,Local City College
